REFCODE;GFN2;PM7;PM6
EYODON;0.2112;0.2073;0.263
EYOWEV;0.2647;0.9114;1.2847
EYOWIZ;0.3856;1.0087;1.8698
EYUDUZ;0.1538;0.64;0.1126
EZALUM;0.5056;0.1944;0.5322
EZAYOV;0.0853;0.533;0.8228
EZIGID;0.1708;0.4595;2.1019
EZOQAL;0.1794;0.2992;0.4727
EZOZOI;0.0989;0.236;0.4311
EZOZUO;0.2298;0.3962;0.4077
FABDAO;0.1681;0.2443;0.2225
FACBIV;0.7582;0.6862;0.5112
FACCAO;0.2295;1.2749;1.3965
FACGIB;0.3118;0.27;0.6363
FACGOI;0.1594;0.3251;0.3204
FACGUO;0.2443;0.2761;0.3042
FACXUC;2.646;0.1945;0.2634
FADRUX;0.2015;0.4222;1.49
FADSEL;0.7652;0.7765;0.6537
FADSOV01;0.8862;0.3906;0.3861
FAFFOI;0.2143;0.7579;1.0924
FAFJUT;0.3202;0.3326;0.2034
FAHSEP01;0.6453;1.0072;0.9967
FAHSIT01;0.4089;0.7078;1.4841
FANJAF;0.1414;0.1902;0.7483
FANSAR;0.2874;0.3177;0.7583
FAPFOS;0.0872;0.26;0.4498
FAPGAF;0.516;0.3461;0.496
FAPSAT;0.5546;0.8045;0.9281
FAQROH;0.2789;0.6715;0.5594
FAQWOK;0.1286;0.3742;1.0346
FARYIG10;0.6701;1.2694;0.728
FASNES;1.1027;0.8294;1.2289
FASVIE;0.4427;0.3796;1.4676
FATDOV;0.1375;0.7433;0.1589
FATTAW;0.1393;0.3211;0.4996
FATTEA;1.134;1.7023;0.587
FATTIE;0.4672;0.8986;0.5521
FATVAY;0.3782;0.4169;0.8179
FATVEE;2.014;0.2099;0.2189
FAVPUO01;0.3325;0.4077;1.1105
FAVVUW;0.3682;0.531;1.3795
FAVWAD;0.3359;0.5136;0.4538
FAVYUX;0.3454;0.2039;0.5209
FAVZAE;0.4556;0.7479;0.3767
FAWGOZ;0.2019;0.1223;0.3603
FAWHAN;1.324;0.2435;0.2313
FAXBEL;0.5722;0.3915;0.604
FAXNUO;0.2714;0.4323;0.3457
FAYJEV;0.4697;0.6293;0.4182
FAYKOI;0.1556;0.3518;1.055
FAYKUO;0.3157;0.3969;0.912
FAYNAU;0.3798;0.9622;1.7469
FAZDUI;0.214;0.175;0.5215
FAZTUX;0.3432;1.0165;0.3353
FAZTUX01;0.3432;1.0165;0.3353
FCDECT10;0.1074;0.2061;0.3739
FEBDOF10;0.8449;0.4068;0.477
FEBPEI;0.6042;0.4379;1.3311
FEBPIM;0.3632;0.2597;0.4784
FEBPYC02;0.7767;0.4595;0.8574
FEBPYC03;0.773;0.455;0.9725
FEBQAE;0.6952;0.7056;0.5743
FEBQIM;0.2801;0.2738;0.5238
FEBQOS;0.3742;0.4103;0.4177
FEBQUY;0.2103;0.4513;0.6153
FEBWEP;0.5311;1.2234;1.4491
FECAFA02;0.2652;0.5435;0.6399
FECBEU;0.0955;0.1931;0.3334
FECCOH;0.101;0.1986;0.2793
FECGEB01;0.2035;0.1425;0.1843
FECMOP10;0.1504;0.4059;0.478
FECNON;0.1031;0.1465;0.1488
FECOSP10;1.2062;2.6595;2.4491
FECPCC;0.3587;0.6853;0.5126
FECPCC10;0.3595;0.3062;0.5087
FEDCOJ;0.243;0.3201;0.4906
FEDCUP;0.113;0.2438;0.5208
FEDDID;0.4239;0.1568;0.2352
FEDDOJ;0.1172;0.7048;0.2934
FEDFAW;0.7458;0.6022;0.7296
FEDFEA;0.2846;0.1853;0.6757
FEDQUD;0.2281;0.2737;0.4871
FEDRAK;0.297;0.2446;0.5766
FEFFOO;0.5484;0.8425;1.0188
FEGKOU01;0.2017;0.1686;0.4008
FEGRAN;0.6228;0.6043;0.8491
FEHDON;0.4192;0.3443;0.2598
FEHPIR;0.5739;0.6725;1.3945
FEHPPE01;0.5294;0.7466;0.6269
FEHPYO;0.4934;0.6747;0.8745
FEHTUH;0.1461;0.3454;0.805
FEHVIX;0.3382;0.7032;0.656
FEHWUK;0.1518;0.2048;0.7242
FEHYAS02;0.1468;0.145;0.1513
FEKYEA;0.0951;0.1366;0.1504
FELNOA;0.4512;1.1323;0.5415
FEMETH;0.1646;0.2793;0.3183
FEMFAG;0.1867;0.1415;0.5714
FEMQIX;0.266;0.4398;0.9607
FENCIL;0.7511;0.6077;0.9066
FENKIS;0.3071;0.3591;0.5074
FENLEP;0.6146;0.1879;0.5846
FEOCKT01;0.2105;0.2309;0.6556
FEPHCY03;0.076;0.0652;0.0756
FEPHCY04;0.0719;0.0643;0.076
FEPICA;0.3542;0.4196;0.6334
FEPICC21;0.1686;0.2861;0.5344
FEPICC31;0.1701;0.2966;0.5425
FEPICC37;0.1679;0.2917;0.5226
FEPWON;0.6913;0.2739;0.9991
FEQPAU;0.4556;0.3238;1.1206
FEQPEY;0.8754;0.6507;1.66
FEQPIC;1.0288;1.4216;0.7656
FERBEK;0.1137;0.1221;0.4938
FERBIO;0.176;0.1637;0.5765
FERBUO;0.1004;0.5886;0.1696
FERHAL;0.1046;0.1889;0.8399
FERLAC10;0.3066;0.1614;0.6122
FEROCA03;0.1362;0.2396;0.4168
FEROCA13;0.5869;0.2499;0.4212
FEROCE16;0.1383;0.1602;0.1631
FEROCE17;0.1374;0.1615;0.1823
FEROCE18;0.1382;0.1669;0.16
FEROCE24;0.1299;0.1247;0.0086
FEROCE35;0.1692;0.1663;0.0446
FEROCE36;0.1683;0.1653;0.0438
FEROCE37;0.1663;0.163;0.0411
FEROCE38;0.1704;0.1657;0.0438
FEROCE39;0.1648;0.1617;0.0405
FEROCE40;0.1634;0.1603;0.0383
FEROCE41;0.1627;0.1597;0.0377
FEROCE42;0.1628;0.1595;0.0386
FEROCE43;0.1647;0.161;0.0384
FEROCE44;0.1607;0.1562;0.0345
FEROCE45;0.1584;0.1551;0.0337
FEROCE46;0.1568;0.1535;0.0325
FEROCE47;0.1527;0.1503;0.0302
FEROCE49;0.1533;0.1509;0.0309
FEROCE52;0.1464;0.1439;0.0254
FEROCE53;0.149;0.1455;0.0269
FEROCE54;0.1467;0.1441;0.0298
FEROCE56;0.1446;0.1444;0.0383
FEROCE57;0.1453;0.1458;0.0415
FEROCE58;0.1448;0.1467;0.0462
FEROCE69;0.1419;0.1439;0.0447
FEROCE71;0.1387;0.1426;0.0407
FEROCE72;0.1487;0.1483;0.0392
FEROCE73;0.1447;0.1456;0.0391
FEROCE74;0.1407;0.141;0.033
FEROCE75;0.145;0.1447;0.0319
FEROCE76;0.1465;0.1456;0.0309
FEROCE77;0.1456;0.1425;0.0264
FEROCE78;0.1518;0.1492;0.0292
FEROCE80;0.1542;0.151;0.0298
FEROCE81;0.1545;0.1517;0.0308
FEROCE83;0.1608;0.1581;0.0372
FEROCE84;0.1636;0.161;0.0411
FERPCX10;0.1172;0.1731;0.2451
FERWUW;0.4228;0.6895;0.7037
FERYET;0.1823;1.9624;0.2598
FESCIQ;0.5977;0.5305;0.6345
FESROM;0.4166;0.2842;0.2419
FESSED;0.3139;0.1425;0.2735
FESSIH;0.0944;0.215;0.1302
FESSON;0.1424;0.1502;0.2096
FESVEF;0.3596;0.5326;0.5643
FETPYR01;0.3882;0.3464;0.7807
FETPYR02;0.3805;0.3633;0.7955
FEWBIU;0.8082;1.0819;1.3406
FEWZUC;0.4077;0.5176;0.7076
FEXWUC;0.2521;0.4349;0.5929
FEXYAJ;0.3698;0.5194;0.7332
FEZQAE;0.9357;1.3702;0.1765
FEZXEO;0.6497;0.4453;0.67
FIBCUP;1.0157;0.5115;1.8721
FIBJOQ;0.5173;0.5477;1.228
FICJUW01;0.0709;0.1197;0.1071
FICKIL;0.0522;0.1071;0.1115
FICVUJ;0.4936;1.4365;0.8451
FIFBUR;0.1745;0.3265;0.4824
FIFCAY;0.1031;0.5686;0.4069
FIHJUB;0.2024;0.3153;0.7428
FIHLEN;0.6259;1.0657;1.0601
FIHWUO;0.4304;0.1799;0.6078
FILSEY;0.5038;0.4462;1.1924
FILXUU;0.821;0.3996;0.7223
FILYEF;0.3322;0.6454;0.7396
FINKUI;0.2379;0.4309;0.4996
FIPDIT;0.3461;0.3673;1.2672
FIQJEV;0.3862;0.6664;0.6716
FIRCEQ;0.7465;0.7596;0.7518
FIRVUZ;0.326;0.4197;1.0694
FIRVUZ01;0.3267;0.4148;0.8902
FIRWAG;0.3305;0.4573;1.2445
FIRXAH;0.2142;0.5477;1.2029
FIRZUC;0.2345;0.2956;0.1667
FISBIS;0.1631;0.0935;0.5356
FISJUO;0.3635;0.4717;0.9823
FISKAV;0.3262;0.4296;1.8051
FISLAV;0.9525;0.3813;0.4289
FISMOK;0.2741;0.4033;1.103
FISNIG;0.7272;0.3496;0.6497
FITBEP;2.5131;2.5897;1.8597
FITBIT;1.1466;0.8054;0.8977
FITKOK;0.2451;0.3537;0.2682
FITLAX;0.2651;0.7203;0.3017
FITPEF;0.1813;0.2909;0.5875
FIVCUK;0.3253;0.3869;0.9698
FIVDEV;0.569;0.6936;0.5708
FIVDOF;0.2885;0.2162;1.7011
FIVJUP;0.1725;0.2319;1.2249
FIVMUU;0.1834;0.3888;2.2965
FIVYUG;0.9269;0.8996;0.6275
FIWLIH;0.8187;0.3393;0.6623
FIWPAD;0.1033;0.1355;0.1609
FIWPAD02;0.0631;0.1291;0.1583
FIWWUF;0.5313;0.4099;0.9676
FIWXAM;0.3958;0.1653;0.6079
FIWXUG;0.1883;0.1468;0.6018
FIWYER;0.1645;0.1573;0.687
FIWYIV;0.2612;0.2251;0.5778
FIWYOB;0.2296;1.4523;0.7276
FIXCUM;0.7859;0.9159;0.6643
FIXDAT;0.5242;0.4968;0.4397
FIXDEX;0.2826;0.1969;0.5586
FIXDIB;0.2867;0.1955;0.5588
FIXGEA;0.1994;0.2256;0.1644
FIXGIE;0.5303;0.5677;0.7539
FIXHEB;0.2124;0.3023;0.2453
FIXHOL;0.1834;0.3611;0.2002
FIXHUR;0.1466;0.1784;0.2865
FIXJIH;0.412;0.5415;0.89
FIXJON;0.1478;0.3923;0.3153
FIXJUT;0.5331;0.3323;0.4129
FIXLIJ;0.2458;0.527;0.6368
FIXLOP;0.1472;0.154;0.6497
FIXWIU;0.2488;0.9472;0.3664
FIXXIV;0.5066;0.3309;1.4487
FIYDAU;0.4338;0.5592;0.6431
FIYDIC;0.1609;1.0469;0.6055
FIYDOI;0.2218;0.2339;0.362
FIYGEB;0.4915;0.8978;1.4556
FIYGIF;0.8015;0.6114;0.9524
FIYGOL;0.7325;0.6003;1.484
FIYHIG;0.1318;0.7133;0.5482
FIYHOM;0.061;1.9306;0.4339
FIYHUS;0.2807;0.6273;0.4192
FIYJEE;0.475;0.5404;0.1464
FIYJOO;0.2122;0.3076;1.1442
FIYKIJ;0.3899;0.4225;0.4113
FIYKUV;0.1905;0.2537;0.2294
FIYLAC;0.2662;0.3104;0.401
FIYLOQ;0.4892;1.0618;0.52
FIYLUW;0.4125;0.6705;0.5995
FIZJOP;1.2362;0.13;1.2552
FIZWIV;0.6097;0.7135;1.0473
FOBFUX;0.0891;0.3523;0.6359
FOBGIM;0.2609;0.4699;0.6289
FOBHIP;0.209;0.44;0.3429
FOBREV;0.6726;0.7062;0.987
FOBWAU;0.8955;0.7411;0.857
FOBWUO10;0.1592;0.3353;0.7569
FOCTAT;0.2754;0.3683;0.7138
FOCVAV;0.1385;0.2457;0.4098
FOFJEQ;7.8528;0.5636;0.5059
FOFJIU;0.264;0.1952;0.259
FOFPOH;0.3958;0.6878;1.2581
FOFQIC;0.1388;0.4236;1.3401
FOFVEB;0.2076;0.5897;0.4881
FOFXIH;0.4194;0.3253;0.3855
FOFZAB;0.126;0.1294;0.4014
FOGFIS;0.3065;0.5314;0.5038
FOGVIH;0.7317;0.5748;0.6744
FOHCIQ;0.1663;0.5751;0.8501
FOHDOV;0.1506;0.1764;0.5481
FOHGEO;0.1593;0.161;0.8229
FOHGEQ;0.1774;0.1532;0.6365
FOHGIU;0.1438;0.2647;0.6596
FOHHAM;0.8343;0.4818;0.144
FOHHAM01;0.8444;0.5171;0.1377
FOHVII;0.3895;0.7221;0.6377
FOHVOO;0.2722;0.4441;0.3656
FOJPIE;0.7863;0.9892;1.0018
FOJSOO;0.1161;0.0904;0.74
FOJYOT;0.2164;0.3411;0.7375
FOKQIH;0.436;0.5514;0.6378
FOLNOK;0.6203;0.3789;0.4466
FONCAM;0.4391;0.8297;0.5829
FONPUT;0.5378;0.817;0.9027
FOPSUZ;0.9743;1.6209;0.9748
FOQHAV;0.3069;0.6498;0.5488
FORLUU;0.3007;0.8013;1.2177
FORMAB;0.3286;0.5334;0.8288
FORMOP;0.3033;0.8407;1.2354
FORNEH;0.54;0.8657;0.9148
FORNIL;0.5646;0.7857;0.9772
FORNOR;0.4113;0.5607;0.9683
FORTOV;0.2411;0.5998;0.9262
FORWEO;0.1734;0.5404;1.076
FOSFEN10;0.8108;1.0585;0.5476
FOSJOO;0.8357;1.4921;1.1701
FOSKEF;0.7867;0.7191;0.612
FOSMAC;0.5419;0.895;2.1546
FOSWEP;0.3155;1.0284;0.4628
FOTZET;0.0792;0.1072;0.3358
FOVNEL;0.3453;0.2251;0.1892
FOVNIP;0.2789;0.3707;0.3078
FOVNOV;1.0739;0.2726;0.2089
FOWGAZ;0.1647;0.278;0.3911
FOXDAX;0.2086;0.1508;0.4086
FOXDUS;0.5626;0.7267;1.9981
FOXDUS01;0.3651;0.6464;1.1821
FOXHOR;0.3023;1.3359;0.2308
FOXROB;0.9853;0.6568;0.7387
FOYHIK;0.5096;0.654;1.0963
FOYKOV;0.3351;0.5612;0.5646
FOYLAI;1.2342;1.2991;0.9671
FOYLEM;0.1472;0.4223;0.3184
FOYVEV;0.6193;1.2157;2.0784
FOZDOP;0.3326;0.2247;0.847
FOZRAN01;0.2221;0.2373;0.4355
FOZVUN;0.124;0.391;0.3064
FPCYTP10;0.1566;0.2813;0.5829
FRMTFE;0.3389;0.2557;0.4805
FRMTFE10;0.3381;0.2539;0.5372
FUFNAV;0.0897;0.3545;0.4351
FUGNOL;0.3743;0.3876;0.3201
FUHCUI;0.6103;1.9064;2.4238
FUHMUQ;0.1691;0.2415;0.4859
FUJGAS;0.144;0.4753;0.2323
FUJVEL;0.6291;0.8351;0.6564
FULBIZ;0.6623;0.5907;0.9501
FULHEA;0.4048;0.7483;0.3901
FULHOK;0.4003;0.6045;0.933
FULVFE;0.0992;0.1366;0.1533
FULZAP;0.1855;0.2462;0.229
FUMPOS;0.114;0.2272;1.1756
FUMZET;0.4217;0.1312;0.6963
FUPGUT;0.4907;0.4909;0.4271
FUPHAA;0.2534;0.3079;0.6512
FUPSAM;0.5391;0.6376;0.8729
FUQNUC;0.2106;0.3386;0.3719
FUQXAS;0.2835;0.417;0.421
FURMEK;0.4263;1.1289;3.3645
FURROZ;0.0988;0.1867;0.347
FURTUI;0.602;0.8523;1.2908
FUSSUH;0.2746;0.3523;1.1166
FUTPAL;0.604;0.942;1.006
FUTVIZ;0.8391;0.9146;0.6146
FUTWIB;0.1103;0.2422;0.4377
FUXFEL;0.2931;0.7264;0.9546
FUXJOX;0.41;1.1892;1.2318
FUXTUN;0.2623;0.3795;0.3766
FUYPOE;0.1571;0.2204;0.4354
FUYVOM;0.6934;0.4844;0.5664
FUZKOC01;0.2798;0.3123;0.5346
GABHID;0.473;0.6094;0.1726
GABJOK;0.2648;0.4941;1.3592
GABLIE;0.2946;0.4456;0.9852
GABLUQ;0.3578;0.3266;0.8942
GACXUG;0.2011;0.2526;0.2868
GADGUQ;0.1867;0.5512;0.273
GAFHAW;0.1116;0.1382;0.9294
GAHCEA;0.4996;0.678;0.3983
GAHVIU;0.4593;1.0237;1.2477
GAHVOA;0.7333;0.3168;0.8869
GAHVUG;0.1185;0.2728;0.2304
GAHWAN;0.1944;0.2779;0.4445
GAJBOI;0.2872;0.3725;0.6302
GAKBEC;0.1711;0.358;0.6289
GAKGAD;0.1501;0.3793;1.1043
GAKKAH;0.2917;0.3679;0.6187
GAKKOS01;0.6284;0.8166;1.023
GAKKOS04;0.652;0.8462;1.0403
GAKKOS05;0.2663;0.3164;0.6767
GAKNEN;0.1302;0.3266;0.1514
GAKWOF;0.5151;0.4042;0.4066
GALVIY;0.7268;1.355;0.8151
GALZOL;1.1549;0.8228;0.6574
GAMCAY;0.3877;0.9081;1.6461
GAMDAA;0.3004;0.3161;1.3916
GAMDEG;0.3187;0.3454;0.2116
GAMHOT;0.1458;0.4382;0.5259
GAMHUZ;0.1248;0.1757;0.4039
GAMJAH;0.169;0.1417;0.5947
GAMJOU;0.905;1.0207;0.7543
GAMJUA;0.2073;0.4846;0.3873
GAMLAJ;0.1321;0.3041;0.7244
GAMPIT;1.2691;1.9882;1.5598
GAMRUI;0.188;0.1967;1.1508
GAMZEA;0.2468;0.221;0.3803
GAMZIE;0.5977;0.6462;0.9727
GAMZIE01;0.6039;0.6477;0.984
GAMZUQ;1.0104;0.9603;1.1513
GANJUD;0.9838;0.9106;0.8519
GANRES;0.3736;0.36;1.3309
GANRES01;0.3809;0.3674;1.0085
GAPDOS;0.5551;0.5738;0.485
GAPDUY;0.56;0.6085;0.4326
GAPFAG;0.5819;0.5205;0.4361
GAPSIA01;0.7721;0.7699;0.8626
GARDIP;0.8295;0.599;0.3394
GARNET;0.0865;0.1701;0.2841
GARTOI10;0.1128;0.2194;0.2842
GASBUA;0.3544;0.2221;0.5084
GASXAB;0.1198;0.7578;0.8968
GATJAN;0.4213;0.4444;0.6184
GATLIW;0.1482;0.2838;1.0491
GATNEV;0.4202;0.3919;1.3684
GATNIZ;0.5204;0.7091;0.7668
GATXOP;0.9224;0.8537;1.6171
GATZUZ;0.2139;0.2393;0.2809
GAVBAJ;0.1556;0.3647;0.2053
GAVBEN;0.1182;0.3018;0.4355
GAVBIR;0.6494;0.6039;0.5749
GAVCIS;1.5852;1.0086;1.2695
GAVFIT;0.7429;0.5493;0.8643
GAVGES;0.1199;0.4065;0.4413
GAVJUK;0.1035;0.2193;0.7313
GAVKAR;0.1948;0.3068;0.4778
GAVKEV01;0.2564;0.3302;0.9342
GAXROM;0.2095;0.2133;0.8694
GAXROM10;0.194;0.2131;0.8577
GAXRUS;0.201;0.1788;0.607
GAXSAZ;0.2301;0.1685;0.9832
GAXSED;0.8807;1.0871;1.8923
GAYZEL;0.317;0.223;1.1117
GAZBIU;0.1325;1.1954;0.4191
GAZCAN;0.7661;0.9132;0.3888
GAZDAM;0.4012;0.7575;0.4954
GAZKAV;0.4746;0.8828;1.2486
GECCAS;0.3751;0.488;1.0084
GECCIA;0.2727;0.5562;0.8068
GECHON;0.2333;0.2173;0.6083
GECXOE;0.1688;0.583;0.5155
GECYOD;0.4333;0.263;1.2602
GECZEW;0.3607;0.3863;0.8311
GEDFAY;4.3577;0.4678;0.996
GEDFEC;0.6923;1.0269;1.7127
GEDFEC01;0.49;0.3553;1.5781
GEDMUX;0.7648;0.1563;0.8604
GEDNUY;0.2466;0.3543;1.8613
GEGCED;1.7735;0.6883;1.3823
GEGHEF;0.3102;0.3321;0.3785
GEGHEF01;0.2945;0.334;0.3774
GEGLIN10;0.6406;0.5491;0.8291
GEHBEB;0.1173;0.0903;0.1726
GEJGEH;0.2682;0.385;0.6963
GEJPIV;1.2695;0.9865;1.4934
GEJVAU;0.4458;0.175;0.3785
GEJVUM01;0.2237;0.3618;0.2643
GEJVUM02;0.2306;0.3427;0.2593
GEJVUM03;0.1639;0.3484;0.1349
GEJVUM04;0.2271;0.3617;0.2616
GEJWUP;0.0473;0.0776;0.3315
GEJZAX;0.2285;0.2055;0.7093
GEKMIT;0.2594;0.9488;1.3205
GELPOC;0.3321;0.2782;0.5223
GEMJEN;0.2175;0.3034;0.3369
GEMWIG;0.2284;0.2746;0.6379
GEPPEX;0.1955;0.0821;0.1932
GEPTUS;0.2806;0.1794;0.2848
GEPVEE;0.1266;0.1962;0.2408
GEPVII;0.1037;0.2135;0.3454
GEPWAB;0.2218;0.2005;0.2474
GEPWEF;0.2066;0.3856;0.3596
GEPWIJ;0.4768;1.5374;0.491
GEPWOP;0.2518;0.1584;0.2111
GEPWUV;0.7733;0.2989;0.2972
GEPXOQ;0.2437;0.3498;1.9804
GEQTOM;0.6795;0.6915;0.4449
GEQTUS;0.2045;0.3586;0.3099
GEQYAD;0.289;0.5434;0.4781
GESMOI;0.4072;0.2287;1.5989
GETGET;0.2057;0.3601;1.161
GETNAW;0.7897;0.4454;0.4777
GEVDIU;0.0762;0.0933;0.2875
GEXLAW;0.4851;0.4891;0.8118
GEXLEC;0.1244;1.4708;0.4122
GEXLEC01;0.1703;1.4355;0.3807
GEXLIE;0.2731;0.4926;0.764
GEXMIF;0.146;0.0424;0.2938
GEXQAB;1.6939;0.5348;0.3145
GEXVAI;0.1731;0.2172;0.8105
GICROZ;1.4539;1.5985;1.7435
GICSAN;0.7309;0.3276;0.1445
GIDHIL;0.2192;0.4034;0.2325
GIDHUY;0.8189;1.9339;2.3537
GIDJEJ;0.2296;0.2405;0.2524
GIDJIN;0.3892;0.3101;0.2604
GIDKAF;0.2067;0.4545;1.2401
GIDKIN;0.1519;0.469;1.3225
GIDKIN02;0.113;0.4506;1.2967
GIFJAG;0.2429;0.1851;0.3191
GIGDUW;0.6714;0.4359;0.5996
GIGFEI;0.4405;0.2201;0.3533
GIGGIN;0.7336;0.8117;1.1613
GIGHOU;0.447;0.622;0.9671
GIHNOC;0.1006;0.1604;0.1398
GIJDAE;0.3327;0.5778;0.7195
GIJGIP;0.2658;0.5437;0.6509
GIJKEQ;0.7016;0.7337;1.1896
GIJNAP;0.1368;0.3688;0.1417
GIJNET01;0.1442;0.8058;0.2749
GIJRUN;0.4519;0.4606;1.0497
GILLIX;0.0508;0.0535;0.4159
GILVOM;0.2362;0.2452;1.533
GILVOM10;0.2369;0.245;1.533
GIMSUQ;0.1102;0.3698;0.334
GIMVII;0.1385;1.084;0.2308
GINHAM;0.3725;0.1451;1.2718
GINHEQ;0.2438;0.6391;0.7622
GINHIU;0.2296;0.5632;0.389
GINHOA;0.5334;1.0408;1.6381
GIPGIX;1.0148;0.7475;0.6394
GIPPAY;0.595;1.9527;2.9044
GIPPEC;0.9102;0.4237;0.8934
GIPPIG;1.1958;1.2886;1.112
GIPQAZ;0.8442;1.4022;0.7897
GIQCUE;0.2068;0.4952;0.7717
GIRNOM;0.222;0.6673;0.3266
GIRYEL;0.898;0.1622;0.4772
GITNOM;0.5796;0.2427;0.5368
GITNUS;0.398;0.3642;0.4937
GIVJOK;0.4209;2.6698;0.9139
GIVJUR;0.7517;0.6403;2.2995
GIWCIY;0.3121;0.6177;0.8931
GIXQAH;0.2004;0.3549;0.461
GIYDIC;0.9669;0.7285;0.929
GIYDIC01;1.0862;0.8237;0.8073
GIYDUO;0.5568;0.3507;0.7128
GIYLEF;0.1327;0.1548;0.6034
GIYWIV;0.0889;0.1638;0.1316
GIYWOB;0.2839;0.2918;0.3929
GIYWUH;0.1046;0.1824;0.1658
GIYXES;0.6351;0.6765;0.4548
GIZKAC;0.0878;0.1656;0.5466
GIZLEH;0.0784;0.189;0.1888
GIZMUZ;0.8629;0.605;2.0415
GIZTOA;0.1954;0.1882;0.1904
GLYCFE01;0.9837;0.7201;0.7483
GOBBUV01;0.3755;0.9039;0.5453
GOBHOU;0.1746;0.2261;0.3021
GOCDEH;0.1081;0.2629;0.6598
GODXOO;0.8091;0.573;0.8163
GOFNAS;0.3695;0.2561;1.0443
GOFZEG;0.4089;0.5788;1.0566
GOFZOQ01;0.5583;1.0252;0.5828
GOGDUC;0.4802;0.5608;0.2316
GOJFIU;0.3959;0.2045;0.2827
GOJGUH;0.3782;0.3685;0.6539
GOLSUX;0.0954;0.4049;0.5539
GOLSUX01;0.0703;0.4346;0.5284
GOLTIM;0.1433;0.3642;0.5351
GOMTIN;0.365;0.786;0.8181
GOMTOT;0.2191;0.5666;0.3395
GONNAY;0.3532;0.3284;0.303
GOPSEJ;0.4316;0.377;1.1907
GOQSAI;0.3065;0.6093;1.1881
GOTBUO;0.1344;0.2048;0.7225
GOTQAJ;0.7009;0.532;1.2127
GOYKEM;0.2096;0.7525;0.7796
GOYKIQ;0.5046;0.5056;0.7709
GOZYEZ;0.2012;0.2895;0.2522
GUBPEY;0.3346;0.1951;1.0874
GUCBAJ;0.226;0.272;0.6832
GUCBIR;0.756;0.9155;0.8759
GUCRON;0.2387;0.2308;0.4861
GUDMOJ;0.7194;0.2668;0.3744
GUDPOK;0.1654;0.3042;0.2226
GUDTAA;0.5825;0.9111;1.0185
GUFFEU;0.3576;0.6103;0.527
GUFGUL;0.161;0.1696;0.3849
GUFQAA;0.8496;0.9588;1.1689
GUGYIQ;0.5144;0.7089;0.7076
GUKDEX;0.3287;0.969;1.5316
GUKFEZ;0.4911;0.7226;0.8689
GUKLOP;0.133;0.1843;0.6851
GUKLUV;0.3899;0.3948;0.87
GULRIP;1.2113;1.1249;1.5055
GULROV;0.4902;0.7017;1.4061
GUPGAA;0.1497;0.1507;0.4141
GUPGEE;0.1242;0.1871;0.5682
GUPNAI;0.2588;0.4635;1.2344
GUPNEM;0.2273;0.4031;1.8898
GUPNIP;0.1633;0.1757;0.167
GUSGEI;0.5047;0.6942;0.8855
GUSNOX;0.5303;0.7535;0.5861
GUTTEV;0.2183;0.2438;1.2375
GUTTIZ;0.3903;0.7107;0.8786
GUTVUM;0.2878;0.1974;0.2605
GUTWAU;0.2155;0.1834;0.197
GUWTEX;0.0761;0.0713;0.3905
GUXLER;0.3629;0.756;1.0299
GUXSAT;0.8249;0.5443;0.7952
GUXSEZ;0.1138;0.1548;0.2672
GUXTUQ;1.1052;1.9816;0.558
GUYMET;0.9917;0.2588;0.2838
GUZCIP;0.3674;0.3707;0.7753
GUZLES;0.283;0.4138;0.5904
GUZLIY;0.3114;0.5875;0.2692
HABLIF;0.2306;0.5363;1.1885
HABLOL01;0.1938;0.158;0.2244
HABLOL02;0.1964;0.1577;0.2286
HABLOL03;0.1967;0.1562;0.2216
HABLUR;0.1293;0.2603;0.6646
HABTOW;0.2932;0.6232;1.6436
HABTUC;1.5723;1.1996;0.8745
HACBES;0.6647;0.7659;0.9517
HACBIW;0.5894;0.9822;0.4409
HACBUI;0.3042;0.3558;0.6339
HACCAP;0.1775;0.1541;0.9667
HACDIY;0.2881;1.077;1.3014
HACGAW;0.1027;0.2104;0.6895
HACQIL;0.113;0.1089;0.3174
HACQIO;0.6382;1.024;0.8276
HACZOC;0.2176;0.5266;2.3135
HACZUI;0.6543;0.4176;1.5819
HADBEV;0.4119;0.2886;1.4412
HADBIZ;0.3711;0.5265;1.1989
HADBUL;0.3046;0.5968;1.0029
HADLOP;0.4373;0.7761;0.4721
HADRUC;0.4209;0.3235;0.707
HAFXER02;0.065;0.1549;0.2384
HAGCEY;0.3643;0.7105;1.1321
HAGJOO;1.0231;0.683;1.1931
HAGKAB;0.689;1.0108;1.6575
HAHBUN;0.5753;0.6821;0.471
HAHBUQ;0.9398;0.4555;0.7766
HAHNAF;0.4776;0.7291;1.6382
HAHWUK;1.3963;0.9076;0.798
HAJGAB;0.4028;0.2639;0.6093
HAKPIT;0.611;0.3764;0.3839
HAKPOZ;0.3422;0.3505;0.3758
HAKQUG;0.4924;0.6686;0.9659
HALVIC;0.6477;0.4233;1.4479
HAMGEI;0.2358;0.2195;0.2334
HAMGIM;0.1266;0.1513;0.12
HAMTAQ;0.7255;0.5169;0.9619
HAMZEC;0.447;0.5903;1.3526
HAMZIG;0.3337;0.4987;1.21
HAMZOM;0.3133;0.7198;0.9404
HAMZUS;0.2964;0.6584;0.5667
HANVAT;0.3586;0.2323;0.3372
HANVIB;0.4878;0.0674;0.6004
HANYAW;0.2074;0.372;0.8461
