REFCODE;GFN2;PM7;PM6
BAKZAP;0.2556;1.1034;1.8052
BAKZAP01;0.2553;1.1025;1.801
BALBIB;0.1055;0.1357;0.484
BALDAW;0.1427;0.9163;1.009
BALDEA;0.2292;0.971;1.0326
BALDIE;0.1703;1.0657;0.9735
BALZIY;1.3237;0.3049;0.3095
BAMBAV;0.0491;0.7139;1.0612
BANYEU;0.286;0.3349;0.3084
BAPHAC;0.2502;0.3749;0.3234
BAPHEG;0.824;0.995;1.1907
BAPHIK;0.1696;0.1095;1.1587
BAPHOQ;0.1846;0.4136;1.2115
BAQNAJ;0.3443;0.4575;0.6009
BARCIG;0.3379;0.4174;0.6068
BARFEH;0.9742;1.2749;1.665
BARMEN;0.3333;0.6315;0.9138
BARQUI;0.2531;0.3718;1.2574
BARTOF;0.2367;0.2262;0.9982
BASCED;0.2978;0.4261;0.5617
BATDAB01;0.1767;0.5393;0.4597
BATFIM;0.2053;0.3222;1.1041
BATLAK;0.541;0.4584;1.0776
BATLEO;0.7504;0.7984;0.6605
BATPOC;0.2367;0.2617;0.4705
BATYEB;0.1845;0.511;0.3082
BAVBEG;0.1089;0.1746;0.1427
BAVBOQ;0.7295;1.2994;0.7913
BAVBUW;0.3154;0.9582;1.153
BAVCAD;0.7327;1.4878;0.8592
BAVVAY;0.236;0.2316;0.3762
BAVXON;0.3341;1.1713;2.2131
BAWKOC;0.49;0.4931;1.1558
BAXXAB;0.7808;0.4716;0.8711
BAXXAB03;0.7415;0.406;0.8117
BAXXAB04;0.719;0.3841;0.7889
BAXXAB05;0.7827;0.4742;0.8701
BAXYUU;0.551;0.3418;1.5475
BAXZAE;1.0681;1.1378;0.715
BAXZEI;1.0154;0.7015;0.821
BAYLET;0.5251;0.6457;1.7436
BAYLOD;0.9173;2.5013;2.281
BAYLUL;1.6324;0.6401;0.6169
BAYMEW;0.6418;0.2192;0.2772
BAYMIA;0.2829;0.8314;0.7615
BAYMOG;0.3242;0.3739;0.8208
BAYMUM;0.168;0.8019;1.2795
BAYTAZ;0.1893;0.3004;1.0358
BAYTIE;0.3773;0.9956;1.2082
BAZCOV;0.3324;0.4723;0.4614
BAZWIL;0.4107;0.2736;0.4993
BAZZEG;0.1858;0.2006;0.4227
BCNFEC;0.157;0.4808;0.5532
BCOCFE;0.1763;0.1811;0.4539
BDECTF10;0.1464;1.0046;0.5563
BEBBAO;0.0845;0.2604;1.1563
BEBBIV;0.1118;0.4034;0.2505
BEBFAR;0.7092;0.7498;1.2055
BEBFEV;0.376;0.9134;0.7104
BEBGUK;0.2422;0.5532;0.6432
BEBPIK;0.4838;0.4269;1.7183
BEBPUW;0.769;1.1333;0.8461
BEBSAC01;0.1182;0.3426;1.7247
BEBSOT;0.2499;0.1895;0.2199
BEBSUZ;0.3547;1.9423;0.5586
BEBTAG;0.2803;0.2678;0.137
BEBTEK;0.367;0.6372;0.2132
BEBTOR;0.1644;0.1659;0.5947
BEBTOR01;0.7817;0.1852;0.7996
BEBTOU;0.1322;1.3781;1.8818
BEBYUF;0.4504;0.3592;0.7336
BEBZUF;0.3502;0.1544;0.5964
BECBAO;0.2067;0.217;0.3368
BECBES;0.2727;0.9464;0.1842
BECBOC;0.1772;0.2285;0.4489
BECGIC;1.3186;1.0319;0.9507
BECGUO;1.1568;0.925;0.8196
BECHAV;0.9182;0.1682;0.3747
BECMAA;0.2421;0.4868;0.5651
BEDLIG;0.2024;0.3883;0.6277
BEFQOS;0.2474;0.7443;0.4174
BEGPUA;0.4065;1.0874;1.1
BEHCEY;0.3685;0.452;0.8237
BEHCIC02;0.1141;0.141;0.6053
BEHCUM;0.1336;0.223;0.1589
BEHJON;0.1424;0.4077;1.2187
BEJKOR;0.4632;0.634;0.4507
BEJKUX;0.4882;0.1675;0.2342
BEJMUZ;0.2749;0.3111;0.4923
BEJPIQ;0.3238;0.7793;1.0109
BEJWET;0.1099;0.1817;0.3135
BEKBEY;0.1655;1.0306;0.804
BEKZOG;1.2677;1.861;2.1979
BELJUZ;0.1976;0.5192;0.6366
BELQAL;0.2046;0.5353;0.522
BELRUG;0.2626;0.1608;0.7494
BELSAN;0.6167;0.7332;1.2732
BELXIZ;0.1814;0.1243;0.4605
BEMYAT10;0.6311;0.6065;1.1699
BENDEF;0.2786;0.5327;0.4226
BENLEL;0.1699;0.2358;0.3564
BEPGAG;0.1911;0.1495;0.4625
BEPGEK;0.2363;0.1935;0.412
BEPJUB;0.4043;0.1473;0.1155
BEPRIX01;0.2836;0.3188;0.5535
BEQCAC;1.5394;1.2522;1.0552
BEQJUD;0.6041;0.479;1.0058
BEQMUH;0.3729;0.512;1.5337
BEQVID;0.1773;0.3015;0.2068
BEQVOJ;0.2059;0.1953;0.1742
BEQVUP;1.7777;2.0359;0.5255
BERJIS;0.1843;0.1448;0.1921
BETRIC;0.547;1.0221;0.5927
BETRUO;0.1425;0.1525;0.4341
BEVZAD;0.1819;0.2072;1.2216
BEXCUC01;0.2809;0.3034;0.3323
BEYREC;0.1278;0.1237;0.6282
BEZMEY;0.0765;0.0871;0.4633
BEZMOI;0.3042;1.7873;1.327
BEZYOW;0.0786;0.3077;0.2885
BIBCOG;0.438;0.3148;0.5712
BICCAS;0.2707;0.3451;0.2267
BICDIB;0.3314;0.2099;0.4064
BICPEI;0.3938;0.3067;0.58
BICPIM;0.3661;0.4327;0.6428
BICPUY;0.1584;0.4352;0.4425
BICTIS;0.161;0.1585;0.5653
BIFERO12;0.1079;0.3142;0.3398
BIFQAJ;0.1966;0.345;0.9339
BIGKOT;0.6592;0.8355;1.1863
BIGLIO;0.23;0.4914;0.2483
BIGREO10;0.2824;0.3051;0.6102
BIGTAN;0.3568;0.3255;0.4325
BIHHEG;0.4443;0.6514;1.0836
BIJJAG;0.3651;0.3176;0.9502
BIJJIO;0.2712;1.0831;0.691
BIJJUA;0.4015;0.6315;1.1604
BIJKAH;0.3407;0.517;1.8691
BIJKEL;0.4183;0.3937;1.0219
BIKLAJ;0.4648;0.5475;0.5561
BILXAX;0.7419;0.8193;1.1666
BINQIZ;0.6241;0.7093;1.0157
BINXEC;0.8559;1.075;0.7563
BIPDOU;0.0767;0.1268;0.2318
BIQLIW;0.1746;0.1811;0.1896
BIRLAP;0.3305;0.6512;1.0276
BIRLET;0.2598;0.3501;0.4382
